dataset,model,split,max_features,num_features,accuracy,sensitivity,specificity,precision,f1-score,CM(TP:TN:FP:FN),model_file
features_all_1H_mean_standarized_zscore_outliers_yes,sgd,,5-features,3,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_mean_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,sgd,,5-features,1,0.5273,0.4348,0.5938,0.5273,0.5273,10:19:13:13,model__sgd__features_all_1H_median_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,sgd,,5-features,3,0.5273,0.5217,0.5312,0.5391,0.5304,12:17:15:11,model__sgd__features_all_1H_median_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,sgd,,5-features,3,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,sgd,,5-features,3,0.5636,0.6522,0.5000,0.5902,0.5648,15:16:16:8,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,sgd,,5-features,3,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_sum_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,sgd,,5-features,3,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_sum_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_no,sgd,,10-features,9,0.5455,0.5652,0.5312,0.5605,0.5485,13:17:15:10,model__sgd__features_all_1D_mean_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_yes,sgd,,10-features,9,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_mean_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_no,sgd,,10-features,9,0.5636,0.5652,0.5625,0.5754,0.5665,13:18:14:10,model__sgd__features_all_1D_mean_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_yes,sgd,,10-features,9,0.5636,0.5652,0.5625,0.5754,0.5665,13:18:14:10,model__sgd__features_all_1D_mean_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_no,sgd,,10-features,9,0.5455,0.5652,0.5312,0.5605,0.5485,13:17:15:10,model__sgd__features_all_1D_sum_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_yes,sgd,,10-features,9,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_sum_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_no,sgd,,10-features,9,0.5636,0.5652,0.5625,0.5754,0.5665,13:18:14:10,model__sgd__features_all_1D_sum_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_yes,sgd,,10-features,9,0.5636,0.5652,0.5625,0.5754,0.5665,13:18:14:10,model__sgd__features_all_1D_sum_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_no,sgd,,10-features,9,0.6545,0.5217,0.7500,0.6499,0.6502,12:24:8:11,model__sgd__features_all_1H_mean_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,sgd,,10-features,9,0.5636,0.4783,0.6250,0.5636,0.5636,11:20:12:12,model__sgd__features_all_1H_mean_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,sgd,,10-features,9,0.4364,0.4348,0.4375,0.4510,0.4401,10:14:18:13,model__sgd__features_all_1H_mean_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_yes,sgd,,10-features,9,0.4727,0.4348,0.5000,0.4818,0.4759,10:16:16:13,model__sgd__features_all_1H_mean_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,sgd,,10-features,5,0.4909,0.8261,0.2500,0.5727,0.4523,19:8:24:4,model__sgd__features_all_1H_median_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,sgd,,10-features,5,0.5273,0.4783,0.5625,0.5331,0.5295,11:18:14:12,model__sgd__features_all_1H_median_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,sgd,,10-features,9,0.6545,0.5217,0.7500,0.6499,0.6502,12:24:8:11,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,sgd,,10-features,9,0.5636,0.4783,0.6250,0.5636,0.5636,11:20:12:12,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,sgd,,10-features,9,0.4364,0.4348,0.4375,0.4510,0.4401,10:14:18:13,model__sgd__features_all_1H_sum_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,sgd,,10-features,9,0.4727,0.4348,0.5000,0.4818,0.4759,10:16:16:13,model__sgd__features_all_1H_sum_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_no,sgd,,20-features,19,0.3455,0.5217,0.2188,0.3619,0.3302,12:7:25:11,model__sgd__features_all_1D_mean_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_yes,sgd,,20-features,19,0.2000,0.1739,0.2188,0.2143,0.2048,4:7:25:19,model__sgd__features_all_1D_mean_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_no,sgd,,20-features,19,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_mean_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_yes,sgd,,20-features,19,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_mean_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_no,sgd,,20-features,19,0.3455,0.5217,0.2188,0.3619,0.3302,12:7:25:11,model__sgd__features_all_1D_sum_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_yes,sgd,,20-features,19,0.2000,0.1739,0.2188,0.2143,0.2048,4:7:25:19,model__sgd__features_all_1D_sum_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_no,sgd,,20-features,19,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_sum_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_yes,sgd,,20-features,19,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_sum_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_no,sgd,,20-features,19,0.5455,0.6087,0.5000,0.5675,0.5476,14:16:16:9,model__sgd__features_all_1H_mean_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,sgd,,20-features,19,0.5636,0.6522,0.5000,0.5902,0.5648,15:16:16:8,model__sgd__features_all_1H_mean_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,sgd,,20-features,19,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_mean_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_yes,sgd,,20-features,19,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_mean_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,sgd,,20-features,3,0.5273,0.4783,0.5625,0.5331,0.5295,11:18:14:12,model__sgd__features_all_1H_median_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,sgd,,20-features,20,0.4909,0.4783,0.5000,0.5028,0.4943,11:16:16:12,model__sgd__features_all_1H_median_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,sgd,,20-features,19,0.5455,0.6087,0.5000,0.5675,0.5476,14:16:16:9,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,sgd,,20-features,19,0.5636,0.6522,0.5000,0.5902,0.5648,15:16:16:8,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,sgd,,20-features,19,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_sum_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,sgd,,20-features,19,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_sum_standarized_zscore_outliers_yes__20-features__loo.skops
