dataset,model,split,max_features,num_features,accuracy,sensitivity,specificity,precision,f1-score,CM(TP:TN:FP:FN),model_file
features_all_1D_sum_standarized_zscore_outliers_no,rlo,,10-features,5,0.6909,0.6522,0.7188,0.6930,0.6917,15:23:9:8,model__rlo__features_all_1D_sum_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_yes,rlo,,10-features,5,0.6909,0.6522,0.7188,0.6930,0.6917,15:23:9:8,model__rlo__features_all_1D_sum_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_no,rlo,,10-features,5,0.7818,0.8261,0.7500,0.7930,0.7833,19:24:8:4,model__rlo__features_all_1H_mean_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,rlo,,10-features,7,0.8727,0.8696,0.8750,0.8740,0.8731,20:28:4:3,model__rlo__features_all_1H_mean_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,rlo,,10-features,6,0.8182,0.8261,0.8125,0.8221,0.8190,19:26:6:4,model__rlo__features_all_1H_mean_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_yes,rlo,,10-features,6,0.8909,0.8696,0.9062,0.8909,0.8909,20:29:3:3,model__rlo__features_all_1H_mean_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,rlo,,10-features,7,0.9091,0.9565,0.8750,0.9156,0.9096,22:28:4:1,model__rlo__features_all_1H_median_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,rlo,,10-features,7,0.9818,1.0000,0.9688,0.9826,0.9819,23:31:1:0,model__rlo__features_all_1H_median_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,rlo,,10-features,6,0.7636,0.7826,0.7500,0.7710,0.7651,18:24:8:5,model__rlo__features_all_1H_sum_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,rlo,,10-features,6,0.8545,0.8696,0.8438,0.8582,0.8552,20:27:5:3,model__rlo__features_all_1H_sum_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,rlo,,10-features,5,0.8000,0.7826,0.8125,0.8016,0.8005,18:26:6:5,model__rlo__features_all_1H_sum_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,rlo,,10-features,8,0.9273,0.9130,0.9375,0.9273,0.9273,21:30:2:2,model__rlo__features_all_1H_sum_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_no,rlo,,20-features,10,0.7636,0.7826,0.7500,0.7710,0.7651,18:24:8:5,model__rlo__features_all_1D_mean_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_yes,rlo,,20-features,9,0.7455,0.7826,0.7188,0.7567,0.7472,18:23:9:5,model__rlo__features_all_1D_mean_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_no,rlo,,20-features,10,0.7455,0.6957,0.7812,0.7455,0.7455,16:25:7:7,model__rlo__features_all_1D_mean_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_yes,rlo,,20-features,10,0.7455,0.6957,0.7812,0.7455,0.7455,16:25:7:7,model__rlo__features_all_1D_mean_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_no,rlo,,20-features,10,0.7636,0.7826,0.7500,0.7710,0.7651,18:24:8:5,model__rlo__features_all_1D_sum_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_yes,rlo,,20-features,9,0.7455,0.7826,0.7188,0.7567,0.7472,18:23:9:5,model__rlo__features_all_1D_sum_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_no,rlo,,20-features,10,0.6909,0.6087,0.7500,0.6893,0.6899,14:24:8:9,model__rlo__features_all_1D_sum_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_yes,rlo,,20-features,10,0.6909,0.6087,0.7500,0.6893,0.6899,14:24:8:9,model__rlo__features_all_1D_sum_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_no,rlo,,20-features,11,0.9636,0.9565,0.9688,0.9636,0.9636,22:31:1:1,model__rlo__features_all_1H_mean_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,rlo,,20-features,10,0.9273,0.9565,0.9062,0.9304,0.9276,22:29:3:1,model__rlo__features_all_1H_mean_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,rlo,,20-features,7,0.8909,0.8696,0.9062,0.8909,0.8909,20:29:3:3,model__rlo__features_all_1H_mean_standarized_zscore_outliers_no__20-features__loo.skops
