number,score_metric,criteria,best_model_mean,score_best_model_mean,model_file_mean,best_model_median,score_best_model_median,model_file_median
control_22,RMSE,min,Prophet,0.6589,control_22__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.7856,control_22__hourly_median__Prophet__RMSE_min.pkl
control_23,RMSE,min,Prophet,0.8386,control_23__hourly_mean__Prophet__RMSE_min.pkl,Prophet,1.1679,control_23__hourly_median__Prophet__RMSE_min.pkl
control_24,RMSE,min,Prophet,0.6712,control_24__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.8971,control_24__hourly_median__Prophet__RMSE_min.pkl
control_25,RMSE,min,Prophet,0.6004,control_25__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.8908,control_25__hourly_median__Prophet__RMSE_min.pkl
control_26,RMSE,min,Prophet,0.6712,control_26__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.8763,control_26__hourly_median__Prophet__RMSE_min.pkl
control_27,RMSE,min,ExponentialSmoothing,0.6788,control_27__hourly_mean__ExponentialSmoothing__RMSE_min.pkl,ExponentialSmoothing,0.9260,control_27__hourly_median__ExponentialSmoothing__RMSE_min.pkl
control_28,RMSE,min,ExponentialSmoothing,0.9192,control_28__hourly_mean__ExponentialSmoothing__RMSE_min.pkl,XGBModel,0.9185,control_28__hourly_median__XGBModel__RMSE_min.pkl
control_29,RMSE,min,Prophet,0.7348,control_29__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.8381,control_29__hourly_median__Prophet__RMSE_min.pkl
control_30,RMSE,min,ExponentialSmoothing,0.9182,control_30__hourly_mean__ExponentialSmoothing__RMSE_min.pkl,ExponentialSmoothing,0.8525,control_30__hourly_median__ExponentialSmoothing__RMSE_min.pkl
control_31,RMSE,min,Prophet,0.6642,control_31__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.6442,control_31__hourly_median__Prophet__RMSE_min.pkl
control_32,RMSE,min,Prophet,1.3854,control_32__hourly_mean__Prophet__RMSE_min.pkl,Prophet,1.0424,control_32__hourly_median__Prophet__RMSE_min.pkl
